0;0;B
0;1;B
0;2;B
0;3;B
0;4;B
0;5;B
0;6;B
0;7;B
0;8;B
0;9;B
0;10;B
0;11;B
0;12;B
0;13;B
0;14;B
0;15;B
1;0;B
1;1;B
1;2;B
1;3;B
1;4;B
1;5;B
1;6;B
1;7;B
1;8;B
1;9;B
1;10;B
1;11;B
1;12;B
1;13;B
1;14;B
1;15;B
2;0;B
2;1;B
2;2;B
2;3;B
2;4;B
2;5;B
2;6;B
2;7;B
2;8;B
2;9;B
2;10;B
2;11;B
2;12;B
2;13;B
2;14;B
2;15;B
3;0;B
3;1;B
3;2;B
3;3;B
3;4;B
3;5;B
3;6;B
3;7;B
3;8;B
3;9;B
3;10;B
3;11;B
3;12;B
3;13;B
3;14;B
3;15;B
4;0;B
4;1;B
4;2;B
4;3;B
4;4;B
4;5;B
4;6;B
4;7;B
4;8;B
4;9;B
4;10;B
4;11;B
4;12;B
4;13;B
4;14;B
4;15;B
5;0;S
5;1;P
5;2;P
5;3;P
5;4;P
5;5;P
5;6;P
5;7;P
5;8;P
5;9;P
5;10;P
5;11;P
5;12;P
5;13;P
5;14;P
5;15;E
6;0;B
6;1;B
6;2;B
6;3;B
6;4;B
6;5;B
6;6;B
6;7;B
6;8;B
6;9;B
6;10;B
6;11;B
6;12;B
6;13;B
6;16;B
6;15;B
7;0;B
7;1;B
7;2;B
7;3;B
7;4;B
7;5;B
7;6;B
7;7;B
7;8;B
7;9;B
7;10;B
7;11;B
7;12;B
7;13;B
7;14;B
7;15;B
8;0;B
8;1;B
8;2;B
8;3;B
8;4;B
8;5;B
8;6;B
8;7;B
8;8;B
8;9;B
8;10;B
8;11;B
8;12;B
8;13;B
8;14;B
8;15;B
